V x y t
0 43 982 0
2 126 403 0
1 98 919 0
3 159 970 1
1 98 919 1
2 126 403 1
3 159 970 2
0 43 982 2
1 98 919 2
4 176 708 3
3 159 970 3
2 126 403 3
5 194 131 4
4 176 708 4
2 126 403 4
6 194 603 5
4 176 708 5
5 194 131 5
6 194 603 6
3 159 970 6
4 176 708 6
7 200 782 7
6 194 603 7
5 194 131 7
7 200 782 8
3 159 970 8
6 194 603 8
8 200 249 9
7 200 782 9
5 194 131 9
10 255 689 10
8 200 249 10
5 194 131 10
10 255 689 11
7 200 782 11
8 200 249 11
10 255 689 12
3 159 970 12
7 200 782 12
11 276 881 13
10 255 689 13
5 194 131 13
11 276 881 14
3 159 970 14
10 255 689 14
12 294 237 15
11 276 881 15
5 194 131 15
13 295 851 16
11 276 881 16
12 294 237 16
14 322 476 17
13 295 851 17
12 294 237 17
15 399 922 18
14 322 476 18
12 294 237 18
15 399 922 19
13 295 851 19
14 322 476 19
15 399 922 20
11 276 881 20
13 295 851 20
15 399 922 21
3 159 970 21
11 276 881 21
16 402 706 22
15 399 922 22
12 294 237 22
17 410 862 23
15 399 922 23
16 402 706 23
18 434 276 24
12 294 237 24
5 194 131 24
18 434 276 25
16 402 706 25
12 294 237 25
18 434 276 26
17 410 862 26
16 402 706 26
19 436 836 27
17 410 862 27
18 434 276 27
19 436 836 28
15 399 922 28
17 410 862 28
20 438 924 29
19 436 836 29
18 434 276 29
20 438 924 30
15 399 922 30
19 436 836 30
20 438 924 31
3 159 970 31
15 399 922 31
21 442 555 32
20 438 924 32
18 434 276 32
22 476 851 33
21 442 555 33
18 434 276 33
22 476 851 34
20 438 924 34
21 442 555 34
23 477 205 35
18 434 276 35
5 194 131 35
23 477 205 36
22 476 851 36
18 434 276 36
24 501 416 37
22 476 851 37
23 477 205 37
25 504 28 38
23 477 205 38
5 194 131 38
25 504 28 39
24 501 416 39
23 477 205 39
26 512 168 40
24 501 416 40
25 504 28 40
27 518 438 41
24 501 416 41
26 512 168 41
27 518 438 42
22 476 851 42
24 501 416 42
28 526 344 43
26 512 168 43
25 504 28 43
28 526 344 44
27 518 438 44
26 512 168 44
29 526 965 45
27 518 438 45
28 526 344 45
29 526 965 46
22 476 851 46
27 518 438 46
29 526 965 47
20 438 924 47
22 476 851 47
29 526 965 48
3 159 970 48
20 438 924 48
29 526 965 49
0 43 982 49
3 159 970 49
30 532 95 50
28 526 344 50
25 504 28 50
30 532 95 51
29 526 965 51
28 526 344 51
31 541 992 52
29 526 965 52
30 532 95 52
31 541 992 53
0 43 982 53
29 526 965 53
32 544 284 54
31 541 992 54
30 532 95 54
33 545 342 55
31 541 992 55
32 544 284 55
34 552 765 56
31 541 992 56
33 545 342 56
35 553 365 57
32 544 284 57
30 532 95 57
35 553 365 58
33 545 342 58
32 544 284 58
35 553 365 59
34 552 765 59
33 545 342 59
36 572 707 60
34 552 765 60
35 553 365 60
36 572 707 61
31 541 992 61
34 552 765 61
37 584 574 62
35 553 365 62
30 532 95 62
37 584 574 63
36 572 707 63
35 553 365 63
38 587 972 64
36 572 707 64
37 584 574 64
38 587 972 65
31 541 992 65
36 572 707 65
39 605 421 66
37 584 574 66
30 532 95 66
39 605 421 67
38 587 972 67
37 584 574 67
40 673 20 68
30 532 95 68
25 504 28 68
40 673 20 69
39 605 421 69
30 532 95 69
40 673 20 70
38 587 972 70
39 605 421 70
41 674 229 71
38 587 972 71
40 673 20 71
42 679 418 72
41 674 229 72
40 673 20 72
42 679 418 73
38 587 972 73
41 674 229 73
43 713 957 74
42 679 418 74
40 673 20 74
43 713 957 75
38 587 972 75
42 679 418 75
43 713 957 76
31 541 992 76
38 587 972 76
44 718 357 77
43 713 957 77
40 673 20 77
45 721 229 78
44 718 357 78
40 673 20 78
45 721 229 79
43 713 957 79
44 718 357 79
46 726 508 80
43 713 957 80
45 721 229 80
47 789 143 81
45 721 229 81
40 673 20 81
47 789 143 82
46 726 508 82
45 721 229 82
47 789 143 83
43 713 957 83
46 726 508 83
48 802 339 84
43 713 957 84
47 789 143 84
49 808 151 85
47 789 143 85
40 673 20 85
49 808 151 86
48 802 339 86
47 789 143 86
50 813 767 87
48 802 339 87
49 808 151 87
50 813 767 88
43 713 957 88
48 802 339 88
51 830 837 89
50 813 767 89
49 808 151 89
51 830 837 90
43 713 957 90
50 813 767 90
52 849 160 91
49 808 151 91
40 673 20 91
52 849 160 92
51 830 837 92
49 808 151 92
53 852 180 93
51 830 837 93
52 849 160 93
54 892 620 94
51 830 837 94
53 852 180 94
55 905 11 95
52 849 160 95
40 673 20 95
55 905 11 96
53 852 180 96
52 849 160 96
55 905 11 97
54 892 620 97
53 852 180 97
56 921 663 98
54 892 620 98
55 905 11 98
56 921 663 99
51 830 837 99
54 892 620 99
57 927 867 100
56 921 663 100
55 905 11 100
57 927 867 101
51 830 837 101
56 921 663 101
57 927 867 102
43 713 957 102
51 830 837 102
58 942 259 103
57 927 867 103
55 905 11 103
59 971 274 104
58 942 259 104
55 905 11 104
59 971 274 105
57 927 867 105
58 942 259 105
