V x y t
0 10 19 0
1 29 38 0
2 33 705 0
3 38 417 1
2 33 705 1
1 29 38 1
4 41 854 2
2 33 705 2
3 38 417 2
5 63 651 3
3 38 417 3
1 29 38 3
5 63 651 4
4 41 854 4
3 38 417 4
6 69 919 5
4 41 854 5
5 63 651 5
7 92 871 6
5 63 651 6
1 29 38 6
7 92 871 7
6 69 919 7
5 63 651 7
8 106 242 8
7 92 871 8
1 29 38 8
9 107 739 9
7 92 871 9
8 106 242 9
10 112 740 10
9 107 739 10
8 106 242 10
10 112 740 11
7 92 871 11
9 107 739 11
11 117 728 12
10 112 740 12
8 106 242 12
11 117 728 13
7 92 871 13
10 112 740 13
12 128 865 14
11 117 728 14
8 106 242 14
12 128 865 15
7 92 871 15
11 117 728 15
12 128 865 16
6 69 919 16
7 92 871 16
13 129 697 17
12 128 865 17
8 106 242 17
14 132 348 18
13 129 697 18
8 106 242 18
14 132 348 19
12 128 865 19
13 129 697 19
15 145 432 20
12 128 865 20
14 132 348 20
16 166 38 21
1 29 38 21
0 10 19 21
16 166 38 22
8 106 242 22
1 29 38 22
16 166 38 23
14 132 348 23
8 106 242 23
16 166 38 24
15 145 432 24
14 132 348 24
16 166 38 25
12 128 865 25
15 145 432 25
17 170 800 26
12 128 865 26
16 166 38 26
18 171 85 27
17 170 800 27
16 166 38 27
19 214 476 28
18 171 85 28
16 166 38 28
19 214 476 29
17 170 800 29
18 171 85 29
20 215 341 30
19 214 476 30
16 166 38 30
21 225 408 31
19 214 476 31
20 215 341 31
21 225 408 32
17 170 800 32
19 214 476 32
22 227 974 33
17 170 800 33
21 225 408 33
22 227 974 34
12 128 865 34
17 170 800 34
22 227 974 35
6 69 919 35
12 128 865 35
23 275 741 36
21 225 408 36
20 215 341 36
23 275 741 37
22 227 974 37
21 225 408 37
24 301 26 38
16 166 38 38
0 10 19 38
24 301 26 39
20 215 341 39
16 166 38 39
24 301 26 40
23 275 741 40
20 215 341 40
25 308 642 41
23 275 741 41
24 301 26 41
25 308 642 42
22 227 974 42
23 275 741 42
26 309 931 43
22 227 974 43
25 308 642 43
27 315 543 44
25 308 642 44
24 301 26 44
27 315 543 45
26 309 931 45
25 308 642 45
28 321 429 46
27 315 543 46
24 301 26 46
28 321 429 47
26 309 931 47
27 315 543 47
29 327 244 48
28 321 429 48
24 301 26 48
29 327 244 49
26 309 931 49
28 321 429 49
30 341 255 50
29 327 244 50
24 301 26 50
30 341 255 51
26 309 931 51
29 327 244 51
31 361 582 52
26 309 931 52
30 341 255 52
32 382 800 53
31 361 582 53
30 341 255 53
32 382 800 54
26 309 931 54
31 361 582 54
33 397 465 55
30 341 255 55
24 301 26 55
33 397 465 56
32 382 800 56
30 341 255 56
34 407 369 57
33 397 465 57
24 301 26 57
34 407 369 58
32 382 800 58
33 397 465 58
35 408 914 59
32 382 800 59
34 407 369 59
35 408 914 60
26 309 931 60
32 382 800 60
35 408 914 61
22 227 974 61
26 309 931 61
36 413 468 62
35 408 914 62
34 407 369 62
37 437 75 63
34 407 369 63
24 301 26 63
37 437 75 64
36 413 468 64
34 407 369 64
37 437 75 65
35 408 914 65
36 413 468 65
38 457 280 66
35 408 914 66
37 437 75 66
39 460 732 67
35 408 914 67
38 457 280 67
40 463 212 68
38 457 280 68
37 437 75 68
40 463 212 69
39 460 732 69
38 457 280 69
41 481 367 70
39 460 732 70
40 463 212 70
42 497 423 71
41 481 367 71
40 463 212 71
42 497 423 72
39 460 732 72
41 481 367 72
43 498 866 73
39 460 732 73
42 497 423 73
43 498 866 74
35 408 914 74
39 460 732 74
44 518 300 75
40 463 212 75
37 437 75 75
44 518 300 76
42 497 423 76
40 463 212 76
44 518 300 77
43 498 866 77
42 497 423 77
45 522 921 78
43 498 866 78
44 518 300 78
45 522 921 79
35 408 914 79
43 498 866 79
45 522 921 80
22 227 974 80
35 408 914 80
46 527 849 81
45 522 921 81
44 518 300 81
47 529 631 82
46 527 849 82
44 518 300 82
48 543 436 83
47 529 631 83
44 518 300 83
48 543 436 84
46 527 849 84
47 529 631 84
49 546 449 85
48 543 436 85
44 518 300 85
49 546 449 86
46 527 849 86
48 543 436 86
50 569 699 87
46 527 849 87
49 546 449 87
50 569 699 88
45 522 921 88
46 527 849 88
51 576 572 89
49 546 449 89
44 518 300 89
51 576 572 90
50 569 699 90
49 546 449 90
52 576 183 91
44 518 300 91
37 437 75 91
52 576 183 92
51 576 572 92
44 518 300 92
53 580 665 93
51 576 572 93
52 576 183 93
53 580 665 94
50 569 699 94
51 576 572 94
53 580 665 95
45 522 921 95
50 569 699 95
54 591 647 96
53 580 665 96
52 576 183 96
54 591 647 97
45 522 921 97
53 580 665 97
55 655 367 98
54 591 647 98
52 576 183 98
56 672 598 99
54 591 647 99
55 655 367 99
56 672 598 100
45 522 921 100
54 591 647 100
57 684 406 101
55 655 367 101
52 576 183 101
57 684 406 102
56 672 598 102
55 655 367 102
58 742 102 103
37 437 75 103
24 301 26 103
